"FileName","Well","Treatment","2N peak","4N peak","< 2N","2N","S","4N","> 4N","Total","< 2N (%)","2N (%)","S (%)","4N (%)","> 4N (%)"
"Nuclei_A549","H14","Untreated",6.8775510204081636,12.020408163265307,91.0,651.0,131.0,195.0,13.0,1081.0,8.4181313598519889,60.222016651248843,12.118408880666049,18.038852913968547,1.2025901942645698
"Nuclei_A549","H15","Untreated",6.8775510204081636,12.387755102040817,87.0,808.0,191.0,182.0,12.0,1280.0,6.7968749999999991,63.125,14.921875000000002,14.21875,0.9375
"Nuclei_A549","H16","Untreated",6.8775510204081636,11.836734693877551,91.0,698.0,166.0,159.0,13.0,1127.0,8.0745341614906838,61.934338952972489,14.729370008873113,14.108251996450754,1.1535048802129548
"Nuclei_A549","H17","Untreated",6.5102040816326534,11.469387755102041,76.0,509.0,167.0,162.0,15.0,929.0,8.1808396124865439,54.790096878363833,17.976318622174382,17.43810548977395,1.6146393972012916
"Nuclei_A549","H18","Untreated",6.8775510204081636,11.836734693877551,47.0,523.0,134.0,120.0,11.0,835.0,5.6287425149700603,62.634730538922156,16.047904191616766,14.37125748502994,1.3173652694610778
"Nuclei_A549","H19","Untreated",6.8775510204081636,12.571428571428571,100.0,674.0,193.0,158.0,12.0,1137.0,8.7950747581354438,59.278803869832899,16.974494283201409,13.896218117854001,1.0554089709762533
"Nuclei_A549","H20","Untreated",6.8775510204081636,12.204081632653061,79.0,630.0,167.0,155.0,9.0,1040.0,7.5961538461538458,60.576923076923073,16.05769230769231,14.903846153846153,0.86538461538461542
"Nuclei_A549","H21","Untreated",6.6938775510204085,12.571428571428571,72.0,607.0,155.0,142.0,8.0,984.0,7.3170731707317067,61.686991869918693,15.752032520325205,14.43089430894309,0.81300813008130091
"Nuclei_A549","H22","Untreated",6.6938775510204085,10.36734693877551,66.0,506.0,145.0,138.0,82.0,937.0,7.043756670224119,54.002134471718257,15.474919957310565,14.727854855923159,8.7513340448239063
"Nuclei_A549","H23","Untreated",6.6938775510204085,12.020408163265307,77.0,504.0,117.0,124.0,16.0,838.0,9.1885441527446314,60.143198090692131,13.961813842482101,14.797136038186157,1.9093078758949882
"Nuclei_A549","H24","Untreated",6.6938775510204085,11.102040816326531,57.0,283.0,72.0,97.0,17.0,526.0,10.836501901140684,53.802281368821291,13.688212927756654,18.441064638783271,3.2319391634980987
