"FileName","Well","Treatment","2N peak","4N peak","< 2N","2N","S","4N","> 4N","Total","< 2N (%)","2N (%)","S (%)","4N (%)","> 4N (%)"
"Nuclei_MCF7","J03","DMSO-Pac",7.4897959183673466,14.081632653061224,3.0,305.0,76.0,83.0,14.0,481.0,0.62370062370062374,63.409563409563404,15.800415800415802,17.255717255717258,2.9106029106029108
"Nuclei_MCF7","J04","Paclitaxel 1.6 nM",7.1020408163265305,13.693877551020408,75.0,67.0,34.0,41.0,17.0,234.0,32.051282051282051,28.63247863247863,14.529914529914532,17.52136752136752,7.2649572649572658
"Nuclei_MCF7","J05","Paclitaxel 1.6 nM",6.3265306122448983,12.918367346938775,97.0,71.0,57.0,63.0,19.0,307.0,31.596091205211724,23.12703583061889,18.566775244299674,20.521172638436482,6.1889250814332248
"Nuclei_MCF7","J06","Paclitaxel 1.6 nM",7.1020408163265305,17.571428571428569,87.0,129.0,65.0,13.0,6.0,300.0,28.999999999999996,43.0,21.666666666666668,4.3333333333333339,2.0
"Nuclei_MCF7","J07","Paclitaxel 5 nM",7.4897959183673466,14.081632653061224,15.0,29.0,12.0,33.0,10.0,99.0,15.151515151515152,29.292929292929294,12.121212121212121,33.333333333333329,10.1010101010101
"Nuclei_MCF7","J08","Paclitaxel 5 nM",7.1020408163265305,14.469387755102041,7.0,22.0,9.0,23.0,4.0,65.0,10.76923076923077,33.846153846153847,13.846153846153847,35.384615384615387,6.1538461538461542
"Nuclei_MCF7","J09","Paclitaxel 5 nM",7.4897959183673466,10.979591836734693,27.0,22.0,14.0,11.0,29.0,103.0,26.21359223300971,21.359223300970871,13.592233009708737,10.679611650485436,28.155339805825243
"Nuclei_MCF7","J10","Paclitaxel 15 nM",7.4897959183673466,14.081632653061224,35.0,16.0,9.0,18.0,5.0,83.0,42.168674698795186,19.277108433734941,10.843373493975903,21.686746987951807,6.024096385542169
"Nuclei_MCF7","J11","Paclitaxel 15 nM",7.4897959183673466,14.081632653061224,29.0,13.0,7.0,15.0,4.0,68.0,42.647058823529413,19.117647058823529,10.294117647058822,22.058823529411764,5.8823529411764701
"Nuclei_MCF7","J12","Paclitaxel 15 nM",7.1020408163265305,13.306122448979592,7.0,14.0,7.0,19.0,9.0,56.0,12.5,25.0,12.5,33.928571428571431,16.071428571428573
"Nuclei_MCF7","K01","DMSO-Noc",7.8775510204081627,14.469387755102041,5.0,465.0,135.0,180.0,26.0,811.0,0.61652281134401976,57.336621454993832,16.646115906288532,22.19482120838471,3.2059186189889024
"Nuclei_MCF7","K02","DMSO-Noc",7.4897959183673466,14.857142857142858,7.0,291.0,88.0,116.0,20.0,522.0,1.3409961685823755,55.747126436781613,16.85823754789272,22.222222222222221,3.8314176245210727
"Nuclei_MCF7","K03","DMSO-Noc",7.4897959183673466,14.081632653061224,8.0,430.0,121.0,144.0,45.0,748.0,1.0695187165775399,57.486631016042779,16.176470588235293,19.251336898395721,6.0160427807486627
"Nuclei_MCF7","K04","Nocodazole 0.16 uM",7.4897959183673466,14.081632653061224,55.0,58.0,29.0,46.0,47.0,235.0,23.404255319148938,24.680851063829788,12.340425531914894,19.574468085106382,20.0
"Nuclei_MCF7","K05","Nocodazole 0.16 uM",7.4897959183673466,14.469387755102041,22.0,21.0,20.0,42.0,3.0,108.0,20.37037037037037,19.444444444444446,18.518518518518519,38.888888888888893,2.7777777777777777
"Nuclei_MCF7","K06","Nocodazole 0.16 uM",7.1020408163265305,14.469387755102041,22.0,29.0,18.0,35.0,7.0,111.0,19.81981981981982,26.126126126126124,16.216216216216218,31.531531531531531,6.3063063063063058
"Nuclei_MCF7","K07","Nocodazole 0.5 uM",7.4897959183673466,13.693877551020408,13.0,28.0,9.0,43.0,19.0,112.0,11.607142857142858,25.0,8.0357142857142865,38.392857142857146,16.964285714285715
"Nuclei_MCF7","K08","Nocodazole 0.5 uM",7.4897959183673466,14.081632653061224,9.0,25.0,13.0,36.0,28.0,111.0,8.1081081081081088,22.522522522522522,11.711711711711711,32.432432432432435,25.225225225225223
"Nuclei_MCF7","K09","Nocodazole 0.5 uM",7.4897959183673466,14.469387755102041,3.0,10.0,9.0,21.0,9.0,52.0,5.7692307692307692,19.230769230769234,17.307692307692307,40.384615384615387,17.307692307692307
"Nuclei_MCF7","K10","Nocodazole 1.5 uM",7.1020408163265305,13.693877551020408,6.0,18.0,10.0,30.0,15.0,79.0,7.59493670886076,22.784810126582279,12.658227848101266,37.974683544303801,18.9873417721519
"Nuclei_MCF7","K11","Nocodazole 1.5 uM",7.1020408163265305,13.693877551020408,8.0,27.0,10.0,50.0,12.0,107.0,7.4766355140186906,25.233644859813083,9.3457943925233646,46.728971962616825,11.214953271028037
"Nuclei_MCF7","K12","Nocodazole 1.5 uM",7.4897959183673466,13.306122448979592,14.0,15.0,5.0,15.0,12.0,61.0,22.950819672131146,24.590163934426229,8.1967213114754092,24.590163934426229,19.672131147540984
"Nuclei_MCF7","L01","DMSO-Aph",7.4897959183673466,14.081632653061224,7.0,547.0,97.0,179.0,13.0,843.0,0.83036773428232491,64.887307236061687,11.506524317912218,21.233689205219456,1.5421115065243181
"Nuclei_MCF7","L02","DMSO-Aph",7.4897959183673466,12.918367346938775,12.0,280.0,62.0,100.0,40.0,494.0,2.42914979757085,56.680161943319838,12.550607287449392,20.242914979757085,8.097165991902834
"Nuclei_MCF7","L03","DMSO-Aph",7.4897959183673466,13.306122448979592,25.0,327.0,120.0,108.0,42.0,622.0,4.019292604501608,52.572347266881025,19.292604501607716,17.363344051446948,6.7524115755627019
